Country,Region,Happiness score,Whisker-high,Whisker-low,Dystopia (1.92) + residual,Economy GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,country_code
Afghanistan,Southern Asia,3.63150000572205,3.71452529236674,3.54847471907735,2.1959183216095,0.331814259290695,0.537191331386566,0.254771560430527,0.0845517739653587,0.191003918647766,0.0362676978111267,AFG
Albania,Central and Eastern Europe,4.58599996566772,4.69539302870631,4.47660690262914,1.46214771270752,0.915782332420349,0.817404687404633,0.790387153625488,0.41866934299469,0.14921273291111,0.0324355699121952,ALB
Algeria,Middle East and Northern Africa,5.29460000991821,5.40649052351713,5.18270949631929,2.20853471755981,0.978857398033142,1.15365600585938,0.686598539352417,0.0772797837853432,0.0551946423947811,0.134516581892967,DZA
Angola,Sub-Saharan Africa,3.79480004310608,3.95144190222025,3.63815818399191,1.53053092956543,0.730156660079956,1.12502038478851,0.268985629081726,0,0.0788681730628014,0.0612761490046978,AGO
Argentina,Latin America and Caribbean,6.38800001144409,6.48501414045692,6.29098588243127,2.41820073127747,1.07267069816589,1.46834146976471,0.743585169315338,0.569710254669189,0.0619422122836113,0.0535070784389973,ARG
Armenia,Central and Eastern Europe,4.3206000328064,4.41193547606468,4.22926458954811,1.48299384117126,0.816387414932251,0.990200042724609,0.666189014911652,0.260099738836288,0.0770520865917206,0.0276431497186422,ARM
Australia,Australia and New Zealand,7.27209997177124,7.35846335321665,7.18573659032583,2.13923645019531,1.33995127677917,1.57253634929657,0.910444676876068,0.646525800228119,0.361004859209061,0.302351891994476,AUS
Austria,Western Europe,7.13940000534058,7.20944800168276,7.06935200899839,2.31947803497314,1.34135162830353,1.50410151481628,0.891358375549316,0.617242217063904,0.242010593414307,0.223820000886917,AUT
Azerbaijan,Central and Eastern Europe,5.20060014724731,5.26987567409873,5.1313246203959,1.77556562423706,1.02401828765869,1.16089129447937,0.602876424789429,0.429843485355377,0.030907966196537,0.176491767168045,AZE
Bahrain,Middle East and Northern Africa,6.10510015487671,6.1914037437737,6.01879656597972,1.74286127090454,1.33776962757111,1.36563968658447,0.698415517807007,0.594379961490631,0.24293951690197,0.123062886297703,BHR
Bangladesh,Southern Asia,4.50040006637573,4.58295038595796,4.41784974679351,1.66353559494019,0.532337546348572,0.849565088748932,0.578533232212067,0.57963240146637,0.152980029582977,0.143806591629982,BGD
Belarus,Central and Eastern Europe,5.48330020904541,5.55772348076105,5.40887693732977,1.68403768539429,1.0387806892395,1.49776136875153,0.700122237205505,0.307283222675323,0.100974969565868,0.154366195201874,BLR
Belgium,Western Europe,6.92689990997314,6.99495030656457,6.85884951338172,2.2150411605835,1.32352244853973,1.48287582397461,0.894324600696564,0.582692801952362,0.18803545832634,0.240393251180649,BEL
Belize,Latin America and Caribbean,5.95559978485107,6.19684225142002,5.71435731828213,2.70978474617004,0.806729137897491,1.10088777542114,0.474332898855209,0.592750668525696,0.182559639215469,0.0886015668511391,BLZ
Benin,Sub-Saharan Africa,4.14139986038208,4.2549909093976,4.02780881136656,2.48081731796265,0.377803832292557,0.372498482465744,0.240425631403923,0.43974980711937,0.163235366344452,0.0668337047100067,BEN
Bhutan,Southern Asia,5.08209991455078,5.19556304007769,4.96863678902388,1.3482608795166,0.796362400054932,1.3346152305603,0.526566803455353,0.541495323181152,0.364007264375687,0.170820683240891,BTN
