                                                                                          Region;Country;Happiness score;Whisker-high;Whisker-low; GDP per capita; Social support;Healthy life expectancy; Freedom to make life choices; Generosity;Perceptions of corruption;Dystopia (1.85) + residual;
Europe;Norway;7                     537;7 594;7 480;1 616;1 534;0 797;0 635;0 362;0 316;2                                               277;                                                                                                                                                             
Europe;Denmark;7                    522;7 582;7 462;1 482;1 551;0 793;0 626;0 355;0 401;2                                               314;                                                                                                                                                             
Europe;Iceland;7                    504;7 622;7 386;1 481;1 611;0 834;0 627;0 476;0 154;2                                               323;                                                                                                                                                             
Europe;Switzerland;7                494;7 562;7 426;1 565;1 517;0 858;0 620;0 291;0 367;2                                               277;                                                                                                                                                             
Europe;Finland;7                    469;7 528;7 410;1 444;1 540;0 809;0 618;0 245;0 383;2                                               430;                                                                                                                                                             
Europe;Netherlands;7                377;7 427;7 327;1 504;1 429;0 811;0 585;0 470;0 283;2                                               295;                                                                                                                                                             
North America;Canada;7              316;7 384;7 248;1 479;1 481;0 835;0 611;0 436;0 287;2                                               187;                                                                                                                                                             
Australia and Oceania;New Zealand;7 314;7 380;7 248;1 406;1 548;0 817;0 614;0 500;0 383;2                                               046;                                                                                                                                                             
Europe;Sweden;7                     284;7 344;7 224;1 494;1 478;0 831;0 613;0 385;0 384;2                                               098;                                                                                                                                                             
Australia and Oceania;Australia;7   284;7 357;7 211;1 484;1 510;0 844;0 602;0 478;0 301;2                                               065;                                                                                                                                                             
Asia;Israel;7                       213;7 280;7 146;1 375;1 376;0 838;0 406;0 330;0 085;2                                               802;                                                                                                                                                             
North America;Costa Rica;7          079;7 168;6 990;1 110;1 416;0 760;0 580;0 215;0 100;2                                               899;                                                                                                                                                             
Europe;Austria;7                    006;7 071;6 941;1 487;1 460;0 815;0 568;0 316;0 221;2                                               139;                                                                                                                                                             
North America;United States;6       993;7 075;6 911;1 546;1 420;0 774;0 506;0 393;0 136;2                                               218;                                                                                                                                                             
Europe;Ireland;6                    977;7 043;6 911;1 536;1 558;0 810;0 573;0 428;0 298;1                                               774;                                                                                                                                                             
Europe;Germany;6                    951;7 005;6 897;1 488;1 473;0 799;0 563;0 336;0 277;2                                               016;                                                                                                                                                             
Europe;Belgium;6                    891;6 956;6 826;1 464;1 462;0 818;0 540;0 232;0 251;2                                               124;                                                                                                                                                             
Europe;Luxembourg;6                 863;6 924;6 802;1 742;1 458;0 845;0 597;0 283;0 319;1                                               620;                                                                                                                                                             
Europe;United Kingdom;6             714;6 784;6 644;1 442;1 496;0 805;0 508;0 493;0 265;1                                               704;                                                                                                                                                             
South America;Chile;6               652;6 739;6 565;1 253;1 284;0 819;0 377;0 327;0 082;2                                               510;                                                                                                                                                             
Asia;United Arab Emirates;6         648;6 722;6 574;1 626;1 266;0 727;0 608;0 361;0 324;1                                               735;                                                                                                                                                             
South America;Brazil;6              635;6 725;6 545;1 107;1 431;0 617;0 437;0 162;0 111;2                                               769;                                                                                                                                                             
Europe;Czech Republic;6             609;6 684;6 534;1 353;1 434;0 754;0 491;0 088;0 037;2                                               452;                                                                                                                                                             
South America;Argentina;6           599;6 690;6 508;1 185;1 440;0 695;0 495;0 109;0 060;2                                               614;                                                                                                                                                             
North America;Mexico;6              578;6 671;6 485;1 153;1 211;0 710;0 413;0 121;0 133;2                                               837;                                                                                                                                                             
Azja;Singapore;6                    572;6 637;6 507;1 692;1 354;0 949;0 550;0 346;0 464;1                                               216;                                                                                                                                                             
Europa;Malta;6                      527;6 598;6 456;1 343;1 488;0 822;0 589;0 575;0 153;1                                               557;                                                                                                                                                             
South America;Uruguay;6             454;6 546;6 362;1 218;1 412;0 719;0 579;0 175;0 178;2                                               172;                                                                                                                                                             
North America;Guatemala;6           454;6 567;6 341;0 872;1 256;0 540;0 531;0 283;0 077;2                                               894;                                                                                                                                                             
North America;Panama;6              452;6 557;6 347;1 234;1 373;0 706;0 550;0 211;0 071;2                                               307;                                                                                                                                                             
...                                                                                                                                      ...                                                                                                                                                             
Africa;Congo (Kinshasa);4           280;4 358;4 202;0 092;1 229;0 191;0 236;0 246;0 060;2                                               225;                                                                                                                                                             
Africa;Mali;4                       190;4 270;4 110;0 476;1 281;0 169;0 307;0 183;0 105;1                                               668;                                                                                                                                                             
Africa;Ivory Coast;4                180;4 275;4 085;0 603;0 905;0 049;0 448;0 201;0 130;1                                               845;                                                                                                                                                             
Asia;Cambodia;4                     168;4 279;4 057;0 602;1 006;0 430;0 633;0 386;0 068;1                                               043;                                                                                                                                                             
Africa;Sudan;4                      139;4 346;3 932;0 660;1 214;0 291;0 015;0 182;0 090;1                                               687;                                                                                                                                                             
Africa;Ghana;4                      120;4 223;4 017;0 667;0 874;0 296;0 423;0 257;0 025;1                                               578;                                                                                                                                                             
Europe;Ukraine;4                    096;4 185;4 007;0 895;1 395;0 576;0 123;0 270;0 023;0                                               814;                                                                                                                                                             
Africa;Uganda;4                     081;4 196;3 966;0 381;1 130;0 218;0 443;0 326;0 057;1                                               526;                                                                                                                                                             
Africa;Burkina Faso;4               032;4 124;3 940;0 350;1 043;0 216;0 324;0 251;0 120;1                                               727;                                                                                                                                                             
Africa;Niger;4                      028;4 112;3 944;0 162;0 993;0 269;0 364;0 229;0 139;1                                               874;                                                                                                                                                             
Africa;Malawi;3                     970;4 077;3 863;0 233;0 513;0 315;0 467;0 287;0 073;2                                               082;                                                                                                                                                             
Africa;Chad;3                       936;4 035;3 837;0 438;0 954;0 041;0 162;0 216;0 054;2                                               071;                                                                                                                                                             
Africa;Zimbabwe;3                   875;3 979;3 771;0 376;1 083;0 197;0 336;0 189;0 095;1                                               598;                                                                                                                                                             
Africa;Lesotho;3                    808;4 044;3 572;0 521;1 190;0 000;0 391;0 157;0 119;1                                               430;                                                                                                                                                             
Africa;Angola;3                     795;3 952;3 638;0 858;1 104;0 050;0 000;0 098;0 070;1                                               614;                                                                                                                                                             
Asia;Afghanistan;3                  794;3 874;3 714;0 401;0 582;0 181;0 106;0 312;0 061;2                                               151;                                                                                                                                                             
Africa;Botswana;3                   766;3 874;3 658;1 122;1 222;0 342;0 505;0 099;0 099;0                                               378;                                                                                                                                                             
Africa;Benin;3                      657;3 746;3 568;0 431;0 435;0 210;0 426;0 208;0 061;1                                               886;                                                                                                                                                             
Africa;Madagascar;3                 644;3 714;3 574;0 306;0 913;0 375;0 189;0 209;0 067;1                                               585;                                                                                                                                                             
North America;Haiti;3               603;3 735;3 471;0 369;0 640;0 277;0 030;0 489;0 100;1                                               697;                                                                                                                                                             
Asia;Yemen;3                        593;3 693;3 493;0 592;0 935;0 310;0 249;0 104;0 057;1                                               346;                                                                                                                                                             
Africa;South Sudan;3                591;3 726;3 456;0 397;0 601;0 163;0 147;0 286;0 117;1                                               880;                                                                                                                                                             
Africa;Liberia;3                    533;3 654;3 412;0 119;0 872;0 230;0 333;0 267;0 039;1                                               673;                                                                                                                                                             
Africa;Guinea;3                     507;3 584;3 430;0 245;0 791;0 194;0 349;0 265;0 111;1                                               552;                                                                                                                                                             
Africa;Togo;3                       495;3 594;3 396;0 305;0 432;0 247;0 380;0 197;0 096;1                                               837;                                                                                                                                                             
Africa;Rwanda;3                     471;3 543;3 399;0 369;0 946;0 326;0 582;0 253;0 455;0                                               540;                                                                                                                                                             
Asia;Syria;3                        462;3 664;3 260;0 777;0 396;0 501;0 082;0 494;0 151;1                                               062;                                                                                                                                                             
Africa;Tanzania;3                   349;3 461;3 237;0 511;1 042;0 365;0 390;0 354;0 066;0                                               621;                                                                                                                                                             
Africa;Burundi;2                    905;3 075;2 735;0 092;0 630;0 152;0 060;0 204;0 084;1                                               683;                                                                                                                                                             
Africa;Central African Republic;2   693;2 865;2 521;0 000;0 000;0 019;0 271;0 281;0 057;2                                               066;                                                                                                                                                             

